date,open,high,low,close,volume,symbol,rsi,ema21,ema50,macd,macd_signal,bb_upper,bb_lower,fear_greed,fear_greed_label,btc_dominance,funding_rate
2025-05-09,628.2,670.21,624.0,670.04,666.69907,BNB,,670.04,670.04,0.0,0.0,,,73,Greed,58.46,
2025-05-10,671.41,679.53,649.98,663.87,363.75414,BNB,,666.8080952380952,666.8933,-0.13842948717945092,-0.0769052706552505,,,70,Greed,58.46,
2025-05-11,664.38,675.01,648.63,651.46,1010.74916,BNB,,661.1974622356496,661.5417451006533,-0.5612200005235763,-0.2753949140439086,,,70,Greed,58.46,
2025-05-12,652.06,692.04,649.37,661.43,451.95225,BNB,,661.2641521223875,661.5121107556978,-0.37979628425193823,-0.31076123186505683,,,70,Greed,58.46,
2025-05-13,660.1,671.45,640.84,664.45,587.41604,BNB,,662.0281690717597,662.1476154916829,-0.15304493241956152,-0.26384419847455964,,,70,Greed,58.46,
2025-05-14,665.28,667.11,648.62,652.35,600.39426,BNB,,660.0080063015108,660.3471232391813,-0.5312629676805045,-0.33632955312531665,,,73,Greed,58.46,
2025-05-15,652.33,660.61,642.94,651.99,328.8811,BNB,,658.5107857642705,659.0053106334574,-0.7809756652079614,-0.44885762201456886,,,70,Greed,58.46,
2025-05-16,652.55,659.54,645.09,646.3,335.03971,BNB,,656.4300232720885,657.1861054172285,-1.2064739547646468,-0.6309270737527076,,,71,Greed,58.46,
2025-05-17,646.57,646.57,634.93,639.35,100.87545,BNB,,653.7338555917543,654.8727648231836,-1.8275813016548454,-0.907360137030339,,,74,Greed,58.46,
2025-05-18,639.9,654.56,634.73,651.59,144.20153,BNB,,653.4166713873441,654.4823197496389,-1.611114584742154,-1.0650419862074103,,,74,Greed,58.46,
